map_size,map_area,num_agents,agent_density,density,FRA,FRA_sq,FDA,FDA_sq,FRAxFDA,FRA_per_area,FDA_per_area,FRAxAgentDens,FDAxAgentDens,BN,MC,pred_raw,complexity_calibrated,curriculum_stage,success_rate
96,9216,2,0.00021701388888888888,0.3,0.7010450160771704,0.49146411456664013,0.6749131944444444,0.45550782003520446,0.47314453124999994,7.60682526125402e-05,7.323276849440587e-05,0.00015213650522508037,0.0001464655369888117,0.3516572352465643,0.0117647058823529,0.8545099,0.45041323,1,0.855
96,9216,2,0.00021701388888888888,0.5,0.4955742169768497,0.24559380453221774,0.4780815972222222,0.2285620136025511,0.23692491319444442,5.377324402960609e-05,5.1875173309702934e-05,0.00010754648805921218,0.00010375034661940585,0.6965454955972002,0.001636661,0.88897413,0.39256197,1,0.855
96,9216,2,0.00021701388888888888,0.7,0.2878673700075358,0.08286762271505553,0.2879774305555556,0.08293100050937983,0.08289930555555557,3.1235608724776025e-05,3.124755105854553e-05,6.247121744955204e-05,6.249510211709105e-05,0.9227289860535244,0.000853971,0.9975472,0.020661157,0,0.995
96,9216,4,0.00043402777777777775,0.7,0.299150036954915,0.089490744610127,0.2936197916666667,0.08621258205837674,0.08783637152777778,3.245985644042046e-05,3.1859786422164356e-05,0.00012983942576168185,0.0001274391456886574,0.9227289860535244,0.000853971,0.7885689,0.6487603,2,0.735
96,9216,4,0.00043402777777777775,0.5,0.4945317840054682,0.24456168539163106,0.4762369791666667,0.22680166032579213,0.23551432291666669,5.366013281309334e-05,5.167501944082755e-05,0.00021464053125237336,0.00020670007776331018,0.6965454955972002,0.001636661,0.91530263,0.3264463,1,0.925
96,9216,4,0.00043402777777777775,0.3,0.6845063538611925,0.4685489484763441,0.666015625,0.4435768127441406,0.4558919270833333,7.427369291028565e-05,7.226732042100694e-05,0.00029709477164114256,0.00028906928168402775,0.3516572352465643,0.0117647058823529,0.8470058,0.46694213,1,0.835
96,9216,4,0.00043402777777777775,0.1,0.8904893697320417,0.7929713176057689,0.8625217013888888,0.7439436853667836,0.7680664062499999,9.6624280569883e-05,9.358959433473186e-05,0.00038649712227953196,0.00037435837733892745,0.060301508,1.0,0.721778,0.88842976,3,0.625
96,9216,8,0.0008680555555555555,0.1,0.8892245720040282,0.790720339455747,0.8619791666666666,0.743008083767361,0.7664930555555555,9.648704123307597e-05,9.353072554976852e-05,0.0007718963298646077,0.0007482458043981481,0.060301508,1.0,0.70899487,0.97107434,3,0.71
32,1024,2,0.001953125,0.1,0.8663793103448276,0.7506131093935792,0.79296875,0.6287994384765625,0.68701171875,0.0008460735452586207,0.000774383544921875,0.0016921470905172415,0.00154876708984375,0.094827586,1.0,0.7615846,0.75619835,3,0.795
32,1024,2,0.001953125,0.3,0.6871069182389937,0.4721159170918872,0.62109375,0.3857574462890625,0.4267578125,0.0006710028498427673,0.000606536865234375,0.0013420056996855346,0.00121307373046875,0.094827586,1.0,0.8284371,0.553719,2,0.88
32,1024,2,0.001953125,0.5,0.4734513274336283,0.22415615944866468,0.44140625,0.1948394775390625,0.20898437499999997,0.0004623548119469026,0.000431060791015625,0.0009247096238938052,0.00086212158203125,0.094827586,1.0,0.9894696,0.07438017,0,0.99
32,1024,2,0.001953125,0.7,0.2984496124031007,0.08907217114356103,0.251953125,0.06348037719726562,0.07519531249999999,0.000291454699612403,0.0002460479736328125,0.000582909399224806,0.000492095947265625,0.094827586,1.0,0.92498285,0.30578515,1,1.0
32,1024,4,0.00390625,0.7,0.3091872791519434,0.09559677358938176,0.2763671875,0.07637882232666016,0.08544921874999997,0.0003019407022968197,0.00026988983154296875,0.0012077628091872788,0.001079559326171875,0.094827586,1.0,0.9801346,0.12396693,0,0.975
