algo,stage_idx,config_id,config_json,size,num_agents,density,obs_radius,max_episode_steps,density_actual,LDD,BN,MC,DLR,success_rate,grid_hash,episodes_per_stage,FRA,FPA
CL-Gray3D,6,sz32_a4_d0.30,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.3}",32,4,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.86,b6d75382fb9dd408,200,0.6494252873563219,0.5947265625
CL-Gray3D,7,sz32_a4_d0.10,"{""max_episode_steps"":100,""size"":32,""num_agents"":4,""obs_radius"":5,""density"":0.1}",32,4,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.0319427339901477,0.855,b6d75382fb9dd408,200,0.8801955990220048,0.798828125
CL-Gray3D,8,sz32_a8_d0.10,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.1}",32,8,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.81,b6d75382fb9dd408,200,0.8782129742962056,0.7978515625
CL-Gray3D,9,sz32_a8_d0.30,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.3}",32,8,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.81,b6d75382fb9dd408,200,0.6492659053833605,0.5986328125
CL-Gray3D,10,sz32_a8_d0.50,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.5}",32,8,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.93,b6d75382fb9dd408,200,0.5010799136069114,0.4521484375
CL-Gray3D,11,sz32_a8_d0.70,"{""max_episode_steps"":100,""size"":32,""num_agents"":8,""obs_radius"":5,""density"":0.7}",32,8,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.1277709359605911,0.98,b6d75382fb9dd408,200,0.2988505747126437,0.2548828125
CL-Gray3D,12,sz32_a16_d0.70,"{""max_episode_steps"":100,""size"":32,""num_agents"":16,""obs_radius"":5,""density"":0.7}",32,16,0.7,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.5110837438423645,0.94,b6d75382fb9dd408,200,0.3118466898954704,0.2802734375
CL-Gray3D,13,sz32_a16_d0.50,"{""max_episode_steps"":100,""size"":32,""num_agents"":16,""obs_radius"":5,""density"":0.5}",32,16,0.5,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.5110837438423645,0.925,b6d75382fb9dd408,200,0.48590021691973967,0.4501953125
CL-Gray3D,14,sz32_a16_d0.30,"{""max_episode_steps"":100,""size"":32,""num_agents"":16,""obs_radius"":5,""density"":0.3}",32,16,0.3,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.5110837438423645,0.745,b6d75382fb9dd408,200,0.7106446776611695,0.6513671875
CL-Gray3D,15,sz32_a16_d0.10,"{""max_episode_steps"":100,""size"":32,""num_agents"":16,""obs_radius"":5,""density"":0.1}",32,16,0.1,5,100,0.20703125,0.0305690857975843,0.094827586,1.0,0.5110837438423645,0.72,b6d75382fb9dd408,200,0.8869987849331713,0.8037109375
CL-Gray3D,16,sz64_a16_d0.10,"{""max_episode_steps"":100,""size"":64,""num_agents"":16,""obs_radius"":5,""density"":0.1}",64,16,0.1,5,100,0.15234375,0.023498701728395,0.067396313,1.0,0.1074308755760368,0.72,1f09ff42da29f540,200,0.8824127906976744,0.83984375
CL-Gray3D,17,sz64_a16_d0.30,"{""max_episode_steps"":100,""size"":64,""num_agents"":16,""obs_radius"":5,""density"":0.3}",64,16,0.3,5,100,0.34375,0.038043551,0.376860119047619,0.0344827586206896,0.1934523809523809,0.79,ebb1e76cb79b19fb,200,0.6920810313075506,0.662841796875
CL-Gray3D,18,sz64_a16_d0.50,"{""max_episode_steps"":100,""size"":64,""num_agents"":16,""obs_radius"":5,""density"":0.5}",64,16,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.3458333333333333,0.895,b98ce8c22eb5eb2a,200,0.5046201232032854,0.4755859375
CL-Gray3D,19,sz64_a16_d0.70,"{""max_episode_steps"":100,""size"":64,""num_agents"":16,""obs_radius"":5,""density"":0.7}",64,16,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.702161164,0.97,7abb5aad47046108,200,0.3021295474711624,0.275146484375
CL-Gray3D,20,sz64_a8_d0.70,"{""max_episode_steps"":100,""size"":64,""num_agents"":8,""obs_radius"":5,""density"":0.7}",64,8,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.1755402910512597,0.99,7abb5aad47046108,200,0.3269881556683587,0.28857421875
CL-Gray3D,21,sz64_a8_d0.50,"{""max_episode_steps"":100,""size"":64,""num_agents"":8,""obs_radius"":5,""density"":0.5}",64,8,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.086458333,0.855,b98ce8c22eb5eb2a,200,0.49795605518651,0.477783203125
CL-Gray3D,22,sz64_a8_d0.30,"{""max_episode_steps"":100,""size"":64,""num_agents"":8,""obs_radius"":5,""density"":0.3}",64,8,0.3,5,100,0.34375,0.038043551,0.376860119047619,0.0344827586206896,0.048363095,0.855,ebb1e76cb79b19fb,200,0.688876446435237,0.654052734375
CL-Gray3D,23,sz64_a8_d0.10,"{""max_episode_steps"":100,""size"":64,""num_agents"":8,""obs_radius"":5,""density"":0.1}",64,8,0.1,5,100,0.15234375,0.023498701728395,0.067396313,1.0,0.0268577188940092,0.77,1f09ff42da29f540,200,0.8942914515203672,0.85107421875
CL-Gray3D,24,sz64_a4_d0.10,"{""max_episode_steps"":100,""size"":64,""num_agents"":4,""obs_radius"":5,""density"":0.1}",64,4,0.1,5,100,0.15234375,0.023498701728395,0.067396313,1.0,0.00671443,0.835,1f09ff42da29f540,200,0.8835120254998551,0.842529296875
CL-Gray3D,25,sz64_a4_d0.30,"{""max_episode_steps"":100,""size"":64,""num_agents"":4,""obs_radius"":5,""density"":0.3}",64,4,0.3,5,100,0.34375,0.038043551,0.376860119047619,0.0344827586206896,0.0120907738095238,0.845,ebb1e76cb79b19fb,200,0.6903356694946514,0.661865234375
CL-Gray3D,26,sz64_a4_d0.50,"{""max_episode_steps"":100,""size"":64,""num_agents"":4,""obs_radius"":5,""density"":0.5}",64,4,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.0216145833333333,0.7,b98ce8c22eb5eb2a,200,0.4890795631825273,0.469482421875
CL-Gray3D,27,sz64_a4_d0.70,"{""max_episode_steps"":100,""size"":64,""num_agents"":4,""obs_radius"":5,""density"":0.7}",64,4,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.043885073,0.99,7abb5aad47046108,200,0.2965271593944791,0.274169921875
CL-Gray3D,28,sz64_a2_d0.70,"{""max_episode_steps"":100,""size"":64,""num_agents"":2,""obs_radius"":5,""density"":0.7}",64,2,0.7,5,100,0.718994141,0.034238451,0.9131190269331017,0.00203666,0.0109712681907037,0.985,7abb5aad47046108,200,0.3073630136986301,0.28515625
CL-Gray3D,29,sz64_a2_d0.50,"{""max_episode_steps"":100,""size"":64,""num_agents"":2,""obs_radius"":5,""density"":0.5}",64,2,0.5,5,100,0.53125,0.042590281,0.7036458333333333,0.003521127,0.005403646,0.755,b98ce8c22eb5eb2a,200,0.49817992719708787,0.469482421875
CL-Gray3D,30,sz64_a2_d0.30,"{""max_episode_steps"":100,""size"":64,""num_agents"":2,""obs_radius"":5,""density"":0.3}",64,2,0.3,5,100,0.34375,0.038043551,0.376860119047619,0.0344827586206896,0.003022693,0.74,ebb1e76cb79b19fb,200,0.6907943578322198,0.65771484375
